citation,title,doi,year,veg_system_id,region,growth_forms,disturbance_type,response_category,scale,scale_detail,var_Condition,var_Diversity,var_Growth,var_Phenology,var_Physiology,ci_U,ci_D,ci_SE,ci_SD,ci_SQ,ci_SR,ci_overall
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,GrowthForm,Trees,,NL,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,GrowthForm,Shrubs,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Ecosystem,VegType: forest,,NL,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Ecosystem,VegType: shrubs,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Quercus suber,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Quercus rotundifolia,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Quercus robur,,"D, NL",,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Pinus pinaster,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Pinus pinea,,I,,,,10,9,6,5,7,1,19
"Acácio, V., Dias, F. S., Catry, F. X., Rocha, M., & Moreira, F. (2017). Landscape dynamics in Mediterranean oak forests under global change: Understanding the role of anthropogenic and environmental drivers across forest types. Global Change Biology, 23(3), 1199–1217. https://doi.org/10.1111/gcb.13487",Landscape dynamics in Mediterranean oak forests under global change: understanding the role of anthropogenic and environmental drivers across forest types,10.1111/gcb.13487,2017,Mediterranean oak forest,Mediterranean Basin,Trees,"Drought, Anthropogenic",Diversity,Species,Eucalyptus spp.,,I,,,,10,9,6,5,7,1,19
